Jul 07 03:13:56 2016 | hi
Jul 07 04:49:49 2016 | @riadxxx странный ты
Jul 07 04:50:26 2016 | самый 1 видосик
Jul 07 04:51:50 2016 | Алмаз топ пуджик
Jul 07 04:52:01 2016 | я не говорил что это про тебя
Jul 07 04:52:03 2016 | длсмотрел бы
Jul 07 04:52:05 2016 | иди тогда в паб
Jul 07 04:52:07 2016 | до*
Jul 07 04:52:13 2016 | досмотрел бы
Jul 07 04:52:17 2016 | я не про тебя
Jul 07 04:52:31 2016 | ну ты видел как там косо играли пуджа
Jul 07 04:52:40 2016 | за пуджа
Jul 07 04:52:45 2016 | играют соски
Jul 07 04:53:09 2016 | некоторые
Jul 07 04:53:18 2016 | спасибо просто денди и тебе
Jul 07 04:54:14 2016 | милионы пикают пуджа
Jul 07 04:54:20 2016 | он всем так нравится
Jul 07 04:54:32 2016 | но от таких тиммейтов пригорает задница
Jul 07 04:55:04 2016 | 4 к абузер
Jul 07 04:56:07 2016 | против вас 4 к абузер
Jul 07 04:56:20 2016 | щас пудж говно герой стал
Jul 07 04:56:46 2016 | в лейте он бесполезный кусок мяса
Jul 07 04:57:05 2016 | >говно геройапают в каждом патче блять
Jul 07 04:57:33 2016 | в лейте пудж бесполезен даже в прямых руказ
Jul 07 04:57:35 2016 | х*
Jul 07 04:57:50 2016 | зато его хер убьешь. если в прямых руках, так что не надо гнать
Jul 07 04:58:02 2016 | свен дагер стан ульт ой чёт у меня лицо отвалилось
Jul 07 04:58:08 2016 | за пуджа
Jul 07 04:58:16 2016 | свен решит пуджа на изи
Jul 07 04:58:21 2016 | и не токо
Jul 07 04:58:25 2016 | ага, в доте то 2 игрока только, а не 10
Jul 07 04:58:29 2016 | не гони
Jul 07 04:58:56 2016 | есть такая хня как стан
Jul 07 04:59:08 2016 | за один стан он не убьет лол
Jul 07 04:59:10 2016 | называется
Jul 07 04:59:22 2016 | в лейте крит и в таверну
Jul 07 04:59:33 2016 | крит 2000, а хп по 4к
Jul 07 04:59:38 2016 | +резист
Jul 07 04:59:53 2016 | у свена в лейте с сатаником хп под 4 к
